seg,t0,t1,pred,score_viola,score_trombone,score_flute,score_cello,score_bassoon,score_oboe,score_double_bass,score_tuba,score_guitar
1,0,0.8,trombone,-0.172307047612082,-0.0375144000876264,-0.539878799745902,-0.392515089171571,-0.493891499268627,-0.871818630121339,-0.506753282485667,-0.880504086429667,-1.20189696800627
2,0.4,1.2,trombone,-0.243859174664669,-0.0290120591002931,-0.58161995143917,-0.351100772614835,-0.438028866241058,-0.845010551422563,-0.496633989459134,-0.863757025166788,-1.18926474520607
3,0.8,1.6,trombone,-0.235426642718148,-0.0467129123632143,-0.5117740285954,-0.41938706340152,-0.476074088446782,-0.73537181833746,-0.464911770496983,-0.886567845527686,-1.1902674889611
4,1.2,2,trombone,-0.095133101834173,-0.0850746708915311,-0.306555251731463,-0.600542878241535,-0.651696260799365,-0.599439469461366,-0.608528522977635,-0.792845137689035,-1.1532817528684
5,1.6,2.4,viola,-0.0632199842011231,-0.118319960102932,-0.285449183985229,-0.535065379015224,-0.58383165059462,-0.687053388813382,-0.696086381320773,-0.796268464983043,-1.13371644871135
6,2,2.8,viola,-0.119396668241532,-0.204408609478355,-0.201584528768249,-0.517300544640751,-0.473757094471745,-0.615963498954227,-0.823195613356254,-0.824763300980777,-1.06868101710369
7,2.4,3.2,viola,-0.107874172753226,-0.208613958160634,-0.112352419436116,-0.573008692632319,-0.651880413175281,-0.532153189852678,-0.752393575729939,-0.852412040176611,-1.08011724866451
8,2.8,3.6,trombone,-0.107993033203943,-0.105109493595459,-0.327698315572319,-0.396783682255009,-0.701638726628874,-0.775141554790739,-0.55722377463989,-0.763680693993124,-1.10293185296293
9,3.2,4,trombone,-0.135374522524872,-0.0742279760882378,-0.428182715153394,-0.398920744817688,-0.59149506701139,-0.863808250874524,-0.657281281881397,-0.613032746120159,-1.0654587435069
10,3.6,4.4,trombone,-0.149584437021769,-0.0322590546659783,-0.41472460843148,-0.563231469741522,-0.515396439121078,-0.783504451181507,-0.612708930801086,-0.668538154409953,-1.11494472300236
11,4,4.8,trombone,-0.14197901243387,-0.111598931878926,-0.228070090464373,-0.553900238711335,-0.575577269512717,-0.548395390195167,-0.760615822519267,-0.796496032659125,-1.13192849305353
12,4.4,5.2,viola,-0.106157297220218,-0.128026036057559,-0.280156097037034,-0.46621367693859,-0.631316075496297,-0.661416933833964,-0.654740849686325,-0.786359234680491,-1.11007472198016
13,4.8,5.6,trombone,-0.335474424498844,-0.0641865769402388,-0.765513849083884,-0.391977961337995,-0.457353333508174,-0.91150104999465,-0.247451798376366,-0.751512309877933,-1.15559591913342
14,5.2,6,trombone,-0.194716515918406,-0.100328973570542,-0.432004977103403,-0.411064317873109,-0.579139658976229,-0.720400058426039,-0.423421722141586,-0.888394173596715,-1.14792349761018
15,5.6,6.4,viola,-0.1174538136118,-0.514269257654414,-0.148801774950609,-0.621423358875161,-0.467343050969687,-0.542349218510188,-0.53589579704092,-0.948828128180293,-0.846708631187598
16,6,6.8,viola,-0.0484047309584038,-0.458268140269241,-0.283515555840731,-0.598079773956153,-0.443701699253688,-0.588023682003209,-0.503307115225463,-0.935891819153108,-0.876349859901098
17,6.4,7.2,trombone,-0.0895963700170581,-0.0750182470244495,-0.324162673849688,-0.551261823472623,-0.603371317385784,-0.598125641362779,-0.676071080501815,-0.774655299409816,-1.13973722063024
18,6.8,7.6,viola,-0.0902920837774302,-0.407378795637044,-0.217409575361094,-0.638547984542898,-0.479606867537688,-0.253950072317878,-0.804717025048617,-0.930871737579605,-1.05906309877951
19,7.2,8,viola,-0.0537529830133188,-0.395256049209783,-0.265134202650904,-0.645187149887001,-0.428768912267757,-0.335603593396901,-0.783176296838374,-0.888171853196584,-0.981018025200173
20,7.6,8.4,viola,-0.0829750562323614,-0.246793018126359,-0.27377146630906,-0.527267840029188,-0.486313673897967,-0.532177969828898,-0.763315797358179,-0.735014363691549,-1.06684954056921
21,8,8.8,viola,-0.0806553042133037,-0.42814293306503,-0.163060531485713,-0.519532999005398,-0.526403212418425,-0.461930983476457,-0.780463647311366,-0.831217564736769,-0.952933855126522
22,8.4,9.2,viola,-0.0779824883530127,-0.36030414287391,-0.0964933634015976,-0.535897929654993,-0.580272144976675,-0.491228084198906,-0.784072936082438,-0.863184255683139,-0.98130294170111
23,8.8,9.6,viola,-0.140341204694828,-0.235070450531558,-0.142856629129561,-0.498467617548613,-0.560134212776902,-0.551830694383982,-0.752074414752301,-0.809119469410479,-1.06670465840096
24,9.2,10,viola,-0.0488372970305089,-0.459363708616398,-0.278362177432275,-0.621255609028531,-0.406819059866284,-0.328878969993854,-0.816504199259249,-0.831517689472046,-0.961744092912163
25,9.6,10.4,viola,-0.0483187671274569,-0.58465365613247,-0.269104387905919,-0.656988186829695,-0.373286036802594,-0.470385441306052,-0.64977185347807,-0.824229542954106,-0.72565816924055
